id,text,created_at,user_id,user_name,attitudes_count,comments_count,reposts_count,source
5175971872506805,"12142<br />可能是我最后一次在这投稿了 本人刚高考完 东三省出的政史地题特别难 在网上对答案好多都没把握 引以为傲的政治哲学题还进坑里了  地理最后八道题几乎全选的D。英语也扣了很多分  数学模考稳定在九十来分结果丢了十几分马虎错的分 考完了没有那么开心 很焦虑  我平时成绩连着十几次都很稳定 但是 ​​​ ...<span class=""expand"">展开</span>",Tue Jun 10 12:55:22 +0800 2025,7866242333,温科事务所,0,2,0,🍀iPhone客户端
5175970680013432,"「2025各省高考真题试卷及答案汇总」 ​​​<a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%23"" target=""_blank"">#高考#</a><a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E5%8D%B7%E6%98%AF%E6%88%91%E5%94%AF%E4%B8%80%E6%B2%A1%E5%AF%B9%E8%BF%87%E7%AD%94%E6%A1%88%E7%9A%84%E8%AF%95%E5%8D%B7%23"" target=""_blank"">#高考卷是我唯一没对过答案的试卷#</a><a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E8%8B%B1%E8%AF%AD%23"" target=""_blank"">#高考英语#</a><a target=""_blank"" href=""https://weibo.com/p/100808689d4e106745fd7f4ea5b204e4d96857""><img class=""icon-link"" title=""#高考[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>高考超话</a> ​​​<a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E4%BC%B0%E5%88%86%23"" target=""_blank"">#高考估分#</a><a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E7%9C%9F%E9%A2%98%23"" target=""_blank"">#高考真题#</a><a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%E6%88%90%E7%BB%A9%23"" target=""_blank"">#高考成绩#</a> ​​​",Tue Jun 10 12:50:38 +0800 2025,7798013466,优惠羊毛共享叭,0,3,0,iPhone客户端
5175970199765374,"//<a href=/n/杭之冯玥希望我好自为之 usercard=""name=@杭之冯玥希望我好自为之"">@杭之冯玥希望我好自为之</a>:回复<a href=/n/还是去吧 usercard=""name=@还是去吧"">@还是去吧</a>:学口语肯定有用呀。但同样需要词汇量的日积月累，abandon……笨功夫就是好功夫，学语言没有捷径。//<a href=/n/还是去吧 usercard=""name=@还是去吧"">@还是去吧</a>:看电影/美剧学英语是不是效果很好啊？我看很多博主都在推//<a href=/n/杭之冯玥希望我好自为之 usercard=""name=@杭之冯玥希望我好自为之"">@杭之冯玥希望我好自为之</a>:高考英语94/100。不觉得中国的英语教育失败，任何语言的学习都 ...<span class=""expand"">展开</span>",Tue Jun 10 12:48:42 +0800 2025,1817153892,贼船舵手,0,0,0,微博轻享版
5175970176698482,"大学衔接班开始报名啦！<br />🎉🎉高考结束的宝宝‬们看过来啦‼‼<br />❓暑假太长在家无聊❓<br />❓未入大学略显焦虑❓<br />❓充实自己无下从‬手❓<br />现限时推出大学生活免费体验活动<br />名额有限 ㊙㊙<br />面向全体高中毕业生🆓<br />闲着也是闲着，不如提前感受大学生活！<br />❌年龄要求<br />❌分数限制<br />⭕人来就‬行<br />内容<br />•📙【 ​​​ ...<span class=""expand"">展开</span>",Tue Jun 10 12:48:38 +0800 2025,7953698614,摆烂等于快乐___,2,6,0,6d的小宇宙
5175969826210635,您的高考成绩出来了<br />——————————<br />语文：0<br />数学：0<br />英语：0<br />物理：0<br />化学：0<br />生物：0<br /><br />以下是加分情况:<br />嬷丁羽西：+520<br />泥塑丁羽西：+178<br />磕mrxx/xylx/dx/mzzd/光禹：+52<br /><br />恭喜您高考总分750分！ ​​​,Tue Jun 10 12:47:14 +0800 2025,7326089220,猫猫至上主义_Ryan,2,9,0,兮妹的子宫Android
5175969725022705,"【全国卷高考英语总分为？】 答错，心情 down 到谷底<a href=""//s.weibo.com/weibo?q=%23%E7%AB%A5%E5%B9%B4%E8%AE%B0%E5%BF%86%E8%B6%A3%E5%91%B3%E7%AD%94%E9%A2%98%23"" target=""_blank"">#童年记忆趣味答题#</a>  ​​​",Tue Jun 10 12:46:50 +0800 2025,6862565840,鏡絲sos,0,0,0,答题挑战赛
5175969590808203,"<a href=""//s.weibo.com/weibo?q=%23%E7%89%A9%E6%94%BF%E5%8C%96%E5%8F%B2%E7%94%9F%E5%9C%B0%23"" target=""_blank"">#物政化史生地#</a>2025年3+X高考省份于6月7日至10日举行。具体科目安排如下：<br /> <br />- 6月7日：9：00-11：30考语文，15：00-17：00考数学。<br />​<br />- 6月8日：15：00-17：00考英语。<br />​<br />- 6月9日：8：00-9：30考物理，11：00-12：30考思想政治，15：30-17：00考化学。<br />​<br />- 6月10日：8：00-9：30考历史，11：00-12 ​​​ ...<span class=""expand"">展开</span>",Tue Jun 10 12:46:18 +0800 2025,8002229050,人间正道是沧桑199906,0,0,0,"<a target=""_blank"" href=""https://app.weibo.com/t/feed/1hvYmo"" rel=""nofollow"">荣耀Magic6 Pro</a>"
5175969570620813,已经数不清是梦到的多少次了，我始终都没有办法跟我的高考英语和解。<br />分数比平时低，报志愿回学校的时候都没有脸去见我的英语老师，老师对我很好，是我不好。<br />如果最后两个月没有把私下学英语的时间分给其他科就好了，当时真的太自负了。 ​​​,Tue Jun 10 12:46:13 +0800 2025,7391319760,蓝莓芝士小曲奇,0,0,0,iPhone客户端
5175969295897603,"<a href=""//s.weibo.com/weibo?q=%23%E4%B8%B4%E6%B1%BE%23"" target=""_blank"">#临汾#</a> 我的评分：<br /><a target=""_blank"" href=""https://weibo.com/p/10080851ed5067c29e91c7219222e9dea95a0e""><img class=""icon-link"" title=""#临汾[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>临汾超话</a><a href=""//s.weibo.com/weibo?q=%23%E5%A4%A7%E5%AD%A6%E7%94%9F%E5%AE%B6%E6%95%99%23"" target=""_blank"">#大学生家教#</a> 临汾尧都区暑假有需要家教的吗，在读大学生，寒暑假曾有过多次家教经验，重点辅导初中英语数学，本人中考数学英语110+（满分120），高考数学110+（满分150)英语130+（满分150）<a href=""//s.weibo.com/weibo?q=%23%E5%A4%A7%E5%AD%A6%E7%94%9F%E5%AE%B6%E6%95%99%23"" target=""_blank"">#大学生家教#</a> 有需要的私我<img alt=""[抱一抱]"" title=""[抱一抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2020_hug_org.png"" /><a href=""//s.weibo.com/weibo?q=%23%E4%B8%B4%E6%B1%BE%23"" target=""_blank"">#临汾#</a>  ​​​",Tue Jun 10 12:45:08 +0800 2025,5315586579,_BeautyFour,0,0,0,点评
5175968794152500,"<a href=""//s.weibo.com/weibo?q=%23%E9%AB%98%E8%80%83%23"" target=""_blank"">#高考#</a>高考是结束了...大学生的噩梦开始了，期末周➕周末英语专四考试，平时还有各种小组作业小组汇报和阶段测试，马原和教育知识与能力的课有数不完的知识点要背...还要写论文，背汇报稿件，学校这两周教学评估上课还不能水<img alt=""[抓狂]"" title=""[抓狂]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/17/2018new_zhuakuang_org.png"" /><img alt=""[抓狂]"" title=""[抓狂]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/17/2018new_zhuakuang_org.png"" /><img alt=""[抓狂]"" title=""[抓狂]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/17/2018new_zhuakuang_org.png"" /> ​​​",Tue Jun 10 12:43:08 +0800 2025,7569973930,银河星辰_SilverStars,2,2,0,甜甜小杰的Android
